Time	App_Name	BG_App_Cnt	Daylight	
2021-09-10 16:20:30.656397	explorer.exe	7	Evening
2021-09-10 16:20:32.670014	opera.exe	7	Evening
2021-09-10 16:25:54.096754	TopTracker.exe	7	Evening
2021-09-10 16:25:54.222411	opera.exe	7	Evening
2021-09-10 16:30:02.166439	Skype.exe	7	Evening
2021-09-10 16:30:03.548447	TextLogger.exe	7	Evening
2021-09-10 16:30:04.572433	Skype.exe	7	Evening
2021-09-10 16:30:05.417471	SnippingTool.exe	7	Evening
2021-09-10 16:30:05.850480	opera.exe	7	Evening
2021-09-10 16:30:11.294441	TopTracker.exe	7	Evening
2021-09-10 16:30:11.402417	opera.exe	7	Evening
2021-09-10 16:34:51.869213	SnippingTool.exe	7	Evening
2021-09-10 16:34:52.824961	Skype.exe	7	Evening
2021-09-10 16:34:57.819001	explorer.exe	7	Evening
2021-09-10 16:34:59.131342	TopTracker.exe	7	Evening
2021-09-10 16:35:00.254340	explorer.exe	7	Evening
2021-09-10 16:35:01.660580	TopTracker.exe	7	Evening
2021-09-10 16:35:01.788239	notepad.exe	7	Evening
2021-09-10 16:35:02.053530	explorer.exe	7	Evening
2021-09-10 16:35:04.060165	notepad.exe	7	Evening
2021-09-10 16:35:04.327451	explorer.exe	7	Evening
2021-09-10 16:35:07.232684	TopTracker.exe	7	Evening
2021-09-10 16:35:07.352364	explorer.exe	7	Evening
2021-09-10 16:35:10.264579	explorer.exe	7	Evening
2021-09-10 16:35:34.530708	brave.exe	7	Evening
2021-09-10 16:36:29.839852	brave.exe	7	Evening
2021-09-10 16:37:07.306692	brave.exe	7	Evening
2021-09-10 16:37:25.135033	brave.exe	7	Evening
2021-09-10 16:37:30.950486	brave.exe	7	Evening
2021-09-10 16:38:03.114501	brave.exe	7	Evening
2021-09-10 16:38:05.773393	brave.exe	7	Evening
2021-09-10 16:38:26.300518	brave.exe	7	Evening
2021-09-10 16:38:29.014264	brave.exe	7	Evening
2021-09-10 16:38:56.728177	brave.exe	7	Evening
2021-09-10 16:38:59.366127	brave.exe	7	Evening
2021-09-10 16:39:22.802472	brave.exe	7	Evening
2021-09-10 16:39:24.903863	brave.exe	7	Evening
2021-09-10 16:39:27.261552	brave.exe	7	Evening
2021-09-10 16:39:29.706018	brave.exe	7	Evening
2021-09-10 16:40:23.500210	TopTracker.exe	7	Evening
2021-09-10 16:40:23.690703	brave.exe	7	Evening
2021-09-10 16:40:39.089535	opera.exe	7	Evening
2021-09-10 16:45:07.308508	TopTracker.exe	7	Evening
2021-09-10 16:45:07.439160	opera.exe	7	Evening
2021-09-10 16:50:07.256660	TopTracker.exe	7	Evening
2021-09-10 16:50:07.374346	opera.exe	7	Evening
2021-09-10 16:55:34.462943	TopTracker.exe	8	Evening
2021-09-10 16:55:34.550709	opera.exe	8	Evening
2021-09-10 16:55:36.320977	explorer.exe	8	Evening
2021-09-10 16:55:36.871504	TextLogger.exe	8	Evening
2021-09-10 16:55:55.196524	opera.exe	8	Evening
2021-09-10 17:00:07.651631	TopTracker.exe	7	Evening
2021-09-10 17:00:07.758346	opera.exe	7	Evening
2021-09-10 17:06:04.275275	TopTracker.exe	7	Evening
2021-09-10 17:06:04.389969	opera.exe	7	Evening
2021-09-10 17:10:36.369885	TopTracker.exe	7	Evening
2021-09-10 17:10:36.464633	opera.exe	7	Evening
2021-09-10 17:13:37.993354	brave.exe	7	Evening
2021-09-10 17:14:48.204659	opera.exe	7	Evening
2021-09-10 17:15:19.661566	TopTracker.exe	7	Evening
2021-09-10 17:15:19.811166	opera.exe	7	Evening
2021-09-10 17:19:53.431827	Skype.exe	7	Evening
2021-09-10 17:19:56.153551	opera.exe	7	Evening
2021-09-10 17:20:09.200672	TopTracker.exe	7	Evening
2021-09-10 17:20:09.329328	opera.exe	7	Evening
2021-09-10 17:23:37.490860	explorer.exe	7	Evening
2021-09-10 17:23:38.498161	brave.exe	7	Evening
2021-09-10 17:23:38.516111	brave.exe	7	Evening
2021-09-10 17:23:45.139406	explorer.exe	7	Evening
2021-09-10 17:23:45.667016	brave.exe	7	Evening
2021-09-10 17:23:46.794980	brave.exe	7	Evening
2021-09-10 17:23:48.640048	opera.exe	7	Evening
2021-09-10 17:26:04.956635	TopTracker.exe	7	Evening
2021-09-10 17:26:05.108229	opera.exe	7	Evening
2021-09-10 17:30:06.881898	explorer.exe	7	Evening
2021-09-10 17:30:07.420457	brave.exe	7	Evening
2021-09-10 17:30:08.886539	opera.exe	7	Evening
2021-09-10 17:30:09.771174	brave.exe	7	Evening
2021-09-10 17:30:13.422413	TopTracker.exe	7	Evening
2021-09-10 17:30:14.713960	brave.exe	7	Evening
2021-09-10 17:31:14.288702	SnippingTool.exe	7	Evening
2021-09-10 17:31:15.870471	brave.exe	7	Evening
2021-09-10 17:31:15.888423	SnippingTool.exe	7	Evening
2021-09-10 17:31:16.152718	brave.exe	7	Evening
2021-09-10 17:31:16.457923	SnippingTool.exe	7	Evening
2021-09-10 17:31:30.345775	brave.exe	7	Evening
2021-09-10 17:31:40.704084	SnippingTool.exe	7	Evening
2021-09-10 17:31:42.513248	brave.exe	7	Evening
2021-09-10 17:31:42.856330	SnippingTool.exe	7	Evening
2021-09-10 17:31:44.640568	brave.exe	7	Evening
2021-09-10 17:31:44.645549	SnippingTool.exe	7	Evening
2021-09-10 17:31:51.411460	brave.exe	7	Evening
2021-09-10 17:32:01.924357	SnippingTool.exe	7	Evening
2021-09-10 17:32:03.028404	brave.exe	7	Evening
2021-09-10 17:32:03.365503	SnippingTool.exe	7	Evening
2021-09-10 17:32:06.694604	brave.exe	7	Evening
2021-09-10 17:32:06.705598	SnippingTool.exe	7	Evening
2021-09-10 17:32:13.927269	brave.exe	7	Evening
2021-09-10 17:32:21.569838	SnippingTool.exe	7	Evening
2021-09-10 17:32:23.086794	brave.exe	7	Evening
2021-09-10 17:32:23.375012	SnippingTool.exe	7	Evening
2021-09-10 17:32:25.512299	brave.exe	7	Evening
2021-09-10 17:32:25.520286	SnippingTool.exe	7	Evening
2021-09-10 17:32:33.546820	brave.exe	7	Evening
2021-09-10 17:32:41.678082	explorer.exe	7	Evening
2021-09-10 17:32:48.025115	brave.exe	7	Evening
2021-09-10 17:33:08.173256	brave.exe	7	Evening
2021-09-10 17:33:09.760012	brave.exe	7	Evening
2021-09-10 17:33:15.164564	explorer.exe	7	Evening
2021-09-10 17:33:19.673510	brave.exe	7	Evening
2021-09-10 17:36:19.225516	brave.exe	8	Evening
2021-09-10 17:36:21.643052	brave.exe	8	Evening
2021-09-10 17:36:29.634689	ApplicationFrameHost.exe	8	Evening
2021-09-10 17:36:49.946390	brave.exe	8	Evening
2021-09-10 17:36:52.493581	opera.exe	8	Evening
2021-09-10 17:39:23.103955	explorer.exe	8	Evening
2021-09-10 17:39:27.127200	opera.exe	8	Evening
2021-09-10 17:39:49.338822	explorer.exe	7	Evening
2021-09-10 17:40:00.853041	opera.exe	7	Evening
2021-09-10 17:40:05.659192	explorer.exe	7	Evening
2021-09-10 17:40:07.628927	opera.exe	7	Evening
2021-09-10 17:40:09.770203	TopTracker.exe	7	Evening
2021-09-10 17:40:09.862955	opera.exe	7	Evening
2021-09-10 17:40:12.760210	explorer.exe	7	Evening
2021-09-10 17:40:14.640185	opera.exe	7	Evening
2021-09-10 17:40:21.338278	explorer.exe	7	Evening
2021-09-10 17:40:27.645417	WinRAR.exe	7	Evening
2021-09-10 17:40:28.936965	explorer.exe	7	Evening
2021-09-10 17:40:34.319576	opera.exe	7	Evening
2021-09-10 17:40:52.480028	explorer.exe	7	Evening
2021-09-10 17:41:22.540667	opera.exe	7	Evening
2021-09-10 17:41:23.295652	explorer.exe	7	Evening
2021-09-10 17:41:25.404012	opera.exe	7	Evening
2021-09-10 17:42:26.838779	explorer.exe	7	Evening
2021-09-10 17:42:28.156257	notepad.exe	7	Evening
2021-09-10 17:42:30.672531	opera.exe	7	Evening
2021-09-10 17:45:08.364976	TopTracker.exe	8	Evening
2021-09-10 17:45:08.544493	opera.exe	8	Evening
2021-09-10 17:45:58.979665	explorer.exe	8	Evening
2021-09-10 17:46:01.181779	opera.exe	8	Evening
2021-09-10 17:46:03.923449	explorer.exe	8	Evening
2021-09-10 17:46:05.367589	SnippingTool.exe	8	Evening
2021-09-10 17:46:06.025829	opera.exe	8	Evening
2021-09-10 17:46:08.010523	explorer.exe	8	Evening
2021-09-10 17:46:13.486884	opera.exe	8	Evening
2021-09-10 17:46:15.690991	explorer.exe	8	Evening
2021-09-10 17:46:17.825288	opera.exe	8	Evening
2021-09-10 17:50:31.430326	TopTracker.exe	8	Evening
2021-09-10 17:50:31.596881	opera.exe	8	Evening
2021-09-10 17:55:09.814125	TopTracker.exe	8	Evening
2021-09-10 17:55:09.954753	opera.exe	8	Evening
2021-09-10 18:04:40.342379	Skype.exe	8	Evening
2021-09-10 18:05:03.076605	opera.exe	8	Evening
2021-09-10 18:05:07.690270	TopTracker.exe	8	Evening
2021-09-10 18:05:07.782025	opera.exe	8	Evening
