Key	Press_Time	Relase_Time	Daylight	
$	2021-09-10 12:24:34.395793	2021-09-10 12:24:34.396790	Afternoon
$	2021-09-10 12:24:34.442668	2021-09-10 12:24:34.443665	Afternoon
shift_r	2021-09-10 12:24:33.839283	2021-09-10 12:24:34.497521	Afternoon
backspace	2021-09-10 12:24:35.405095	2021-09-10 12:24:35.513804	Afternoon
backspace	2021-09-10 12:24:35.596582	2021-09-10 12:24:35.676369	Afternoon
backspace	2021-09-10 12:24:35.734214	2021-09-10 12:24:35.848913	Afternoon
backspace	2021-09-10 12:24:35.944652	2021-09-10 12:24:36.033414	Afternoon
backspace	2021-09-10 12:24:36.408412	2021-09-10 12:24:36.503158	Afternoon
caps_lock	2021-09-10 12:24:36.540060	2021-09-10 12:24:36.679687	Afternoon
$	2021-09-10 12:24:36.744513	2021-09-10 12:24:36.858210	Afternoon
caps_lock	2021-09-10 12:24:36.947970	2021-09-10 12:24:37.030748	Afternoon
$	2021-09-10 12:24:37.139459	2021-09-10 12:24:37.266118	Afternoon
$	2021-09-10 12:24:37.333939	2021-09-10 12:24:37.487528	Afternoon
space	2021-09-10 12:24:37.504482	2021-09-10 12:24:37.678018	Afternoon
caps_lock	2021-09-10 12:24:37.823631	2021-09-10 12:24:37.962261	Afternoon
$	2021-09-10 12:24:42.005450	2021-09-10 12:24:42.121141	Afternoon
$	2021-09-10 12:24:42.290688	2021-09-10 12:24:42.460234	Afternoon
backspace	2021-09-10 12:24:43.066613	2021-09-10 12:24:43.132439	Afternoon
$	2021-09-10 12:24:44.941603	2021-09-10 12:24:45.044326	Afternoon
$	2021-09-10 12:24:45.122120	2021-09-10 12:24:45.254764	Afternoon
$	2021-09-10 12:24:45.943921	2021-09-10 12:24:46.150369	Afternoon
$	2021-09-10 12:24:46.381752	2021-09-10 12:24:46.478492	Afternoon
$	2021-09-10 12:24:46.644050	2021-09-10 12:24:46.686936	Afternoon
space	2021-09-10 12:24:47.068917	2021-09-10 12:24:47.236465	Afternoon
caps_lock	2021-09-10 12:24:47.674296	2021-09-10 12:24:47.819909	Afternoon
$	2021-09-10 12:24:20.992624	2021-09-10 12:24:48.205875	Afternoon
$	2021-09-10 12:24:48.160995	2021-09-10 12:24:48.265716	Afternoon
$	2021-09-10 12:24:48.347496	2021-09-10 12:24:48.436259	Afternoon
$	2021-09-10 12:24:48.577882	2021-09-10 12:24:48.672627	Afternoon
space	2021-09-10 12:24:48.670633	2021-09-10 12:24:48.812253	Afternoon
$	2021-09-10 12:24:48.915978	2021-09-10 12:24:49.016705	Afternoon
$	2021-09-10 12:24:49.180270	2021-09-10 12:24:49.277010	Afternoon
space	2021-09-10 12:24:49.276015	2021-09-10 12:24:49.426612	Afternoon
$	2021-09-10 12:24:49.427609	2021-09-10 12:24:49.559256	Afternoon
$	2021-09-10 12:24:49.561251	2021-09-10 12:24:49.685917	Afternoon
$	2021-09-10 12:24:49.716836	2021-09-10 12:24:49.873416	Afternoon
space	2021-09-10 12:24:49.874416	2021-09-10 12:24:50.045955	Afternoon
$	2021-09-10 12:24:50.221487	2021-09-10 12:24:50.376074	Afternoon
$	2021-09-10 12:24:50.761044	2021-09-10 12:24:50.881723	Afternoon
$	2021-09-10 12:24:52.173268	2021-09-10 12:24:52.176261	Afternoon
shift_r	2021-09-10 12:24:51.276665	2021-09-10 12:24:52.177258	Afternoon
space	2021-09-10 12:24:52.599133	2021-09-10 12:24:52.742747	Afternoon
$	2021-09-10 12:24:53.418939	2021-09-10 12:24:53.504709	Afternoon
$	2021-09-10 12:24:53.753045	2021-09-10 12:24:53.909628	Afternoon
$	2021-09-10 12:24:53.969467	2021-09-10 12:24:54.090144	Afternoon
